x coord, y coord, z coord, scalar
48.5822, 10.0924, 52.533, 1.66375
10.3993, 32.7689, -17.3601, 1.31982
22.891, 18.0979, 9.96003, 1.44732
23.6631, 14.3409, 3.18705, 1.30378
20.5157, 28.7967, 2.14947, 1.58055
12.7697, 32.0348, -15.4339, 1.36327
28.2156, 5.54708, 49.7889, 1.39154
14.7844, 30.8994, -17.8008, 1.27353
26.9436, 9.38988, 0.273254, 1.62549
28.6926, 31.2176, 6.64157, 1.23346
39.6434, 23.4496, 31.77, 1.38922
42.4745, 10.5944, 56.4617, 1.30774
26.7503, 32.0403, 10.9725, 1.44105
18.1579, 31.2894, -5.58637, 1.22688
37.742, 26.7289, 30.6626, 1.63366
35.1392, 29.9216, 16.9852, 1.79557
44.3212, 13.9766, 39.2026, 1.71061
35.2978, 10.3106, 58.9152, 1.59268
24.2297, 16.4512, 7.83234, 1.27639
34.1596, 35.7517, 17.8676, 1.63555
37.6084, 22.0157, 31.6199, 1.34245
38.7372, 35.0864, 28.4518, 1.77667
26.7965, 30.4162, 6.31747, 1.36562
38.4047, 31.7738, 22.2999, 1.50255
14.6642, 31.323, -10.8393, 1.49119
30.3628, 9.78226, 53.8867, 1.66747
35.9839, 34.0252, 18.6207, 1.20897
35.2924, 9.48452, 54.7103, 1.44795
34.6692, 33.0851, 22.0891, 1.22958
27.6879, 14.7861, 2.89914, 1.65498
14.0293, 31.6432, -13.9654, 1.33507
36.557, 29.2537, 29.7589, 1.62167
35.6917, 32.3617, 25.8062, 1.34861
32.6897, 21.9983, 24.6673, 1.21216
46.624, 11.3234, 45.4208, 1.63531
44.8109, 18.8267, 35.399, 1.38613
18.8101, 29.9867, -3.97829, 1.18584
29.7613, 19.3304, 20.1396, 1.69736
25.2801, 10.9321, 0.441867, 1.4276
48.1243, 15.4952, 36.295, 1.32165
43.7422, 6.9496, 54.6643, 1.48885
49.2908, 9.25854, 41.5333, 1.76068
17.2578, 31.7461, -5.25997, 1.50385
12.5948, 29.3891, -15.4137, 1.47834
34.2584, 10.3672, 53.8424, 1.26705
38.3974, 34.0712, 23.5716, 1.25883
23.1681, 16.7302, 12.9974, 1.15508
49.7073, 8.29438, 47.8558, 1.37102
31.5309, 33.888, 10.517, 1.53782
14.9251, 31.6757, -13.5696, 1.26097
28.4616, 33.0177, 8.18157, 1.32808
25.8714, 19.4499, 16.8446, 1.14833
14.3981, 30.6387, -12.3166, 1.40732
11.0616, 35.2922, -16.2253, 1.54885
34.6315, 32.2361, 20.329, 1.22784
21.2013, 29.8427, -3.98848, 1.57724
22.9601, 3.82292, 50.2893, 1.54627
26.3328, 16.6028, 7.30964, 1.69122
23.6515, 28.3615, 0.456433, 1.23119
35.0076, 35.2687, 16.8795, 1.66087
50.0014, 10.6573, 45.8541, 1.34618
35.6256, 23.7814, 28.9642, 1.29566
18.1543, 2.93218, 52.4328, 1.69854
27.7225, 27.2955, 2.59666, 1.21259
23.8185, 7.41878, 49.4855, 1.28072
27.8756, 23.2888, 20.3444, 1.39002
34.9846, 22.0628, 24.1195, 1.44456
16.4775, 33.046, -10.5032, 1.44807
37.2091, 32.0883, 19.0595, 1.31486
34.7065, 32.4623, 17.1303, 1.1919
26.0805, 20.1255, 19.0019, 1.54642
14.0972, 29.9157, -15.5505, 1.10839
24.3141, 29.1498, 3.40781, 1.54116
23.3811, 18.3922, 11.7011, 1.32502
39.1167, 23.7892, 27.7904, 1.63728
28.9424, 29.7205, 6.46073, 1.36656
48.4732, 13.6877, 39.1013, 1.12356
18.7078, 29.6916, -1.13385, 1.22926
31.6279, 23.8967, 23.225, 1.62841
46.3564, 13.2792, 34.9886, 1.74904
32.19, 7.89534, 54.2774, 1.2383
27.4316, 21.4983, 23.0099, 1.76097
11.5107, 33.4896, -16.285, 1.35537
47.251, 8.35575, 46.333, 1.5037
23.7199, 16.5097, 8.58876, 1.19561
32.102, 10.4977, 56.7565, 1.5851
14.793, 29.4758, -17.6398, 1.3431
26.1438, 11.7273, 0.440006, 1.17086
37.7236, 33.0095, 19.5818, 1.36161
19.4073, 5.90955, 51.1055, 1.60452
29.2891, 8.71938, 49.4033, 1.41442
30.1674, 20.0822, 21.4118, 1.54098
22.4607, 16.7731, 10.4631, 1.29744
26.8855, 11.5903, 1.09154, 1.25789
24.6553, 8.19836, 48.6395, 1.48421
16.617, 32.4008, -12.3064, 1.27906
48.4662, 11.5172, 39.7261, 1.4752
29.777, 33.3908, 12.5342, 1.44805
31.7003, 21.5593, 25.0065, 1.31181
48.2257, 14.9383, 38.473, 1.03594
49.3458, 10.5911, 44.3739, 1.26723
22.1081, 4.61948, 50.0968, 1.36775
35.4877, 26.4126, 29.715, 1.67631
29.4662, 32.4265, 11.4102, 1.14138
18.5766, 31.9074, -6.15247, 1.27241
47.4333, 11.3801, 41.0961, 1.54603
40.1119, 21.0782, 30.9108, 1.34229
25.2627, 11.2191, -0.924965, 1.32419
33.9918, 32.2099, 16.5479, 1.26848
28.534, 30.0759, 3.90108, 1.54614
25.6253, 16.5116, 16.5628, 1.73603
38.3579, 22.5703, 28.5125, 1.27493
44.1548, 8.39845, 54.7176, 1.16045
38.5177, 32.4502, 25.3555, 1.15825
23.0714, 20.3626, 13.2529, 1.68979
35.6964, 25.1064, 28.8674, 1.4294
19.2973, 30.1707, -7.26702, 1.25792
22.545, 17.6377, 14.9834, 1.5364
37.2356, 31.5181, 19.6493, 1.38612
35.5816, 32.625, 17.7364, 1.17628
28.3261, 21.8675, 17.1662, 1.16243
17.0295, 29.7039, -8.26852, 1.30318
50.167, 13.0555, 39.7043, 1.49264
16.6611, 30.5474, -16.2757, 1.47952
30.9127, 33.7846, 11.6165, 1.43249
45.3277, 14.9785, 37.4768, 1.16825
26.392, 13.9739, 2.57635, 1.24375
24.3791, 16.1867, 5.20482, 1.21597
24.71, 27.3514, 3.95012, 1.25585
20.2039, 27.7967, 0.881613, 1.34193
29.1831, 22.6526, 20.1133, 1.07944
34.5945, 35.2438, 17.4764, 1.49614
26.9338, 32.9584, 12.3669, 1.70454
49.1394, 9.92723, 52.1772, 1.6577
15.0043, 30.4696, -18.768, 1.56804
23.5461, 14.4495, 12.0747, 1.50435
26.7633, 21.4896, 15.7952, 1.36599
45.264, 9.44162, 57.7635, 1.61253
33.6402, 33.586, 15.0388, 1.53417
29.1239, 32.0076, 11.337, 1.15759
22.5375, 4.34337, 53.0124, 1.37755
29.126, 6.24768, 49.6964, 1.30839
24.2795, 7.90287, 48.8968, 1.39092
49.598, 10.2196, 41.7764, 1.49195
25.6227, 17.4848, 16.2547, 1.42627
23.5384, 13.7015, 1.61283, 1.26107
41.7781, 12.7304, 59.9445, 1.34326
16.1642, 28.4921, -15.6862, 1.57365
35.8584, 8.95248, 56.2673, 1.71302
26.9423, 28.9017, 6.00861, 1.27823
45.0229, 8.48035, 52.6675, 1.39783
30.2489, 5.41285, 50.4518, 1.61834
48.986, 14.0273, 39.7414, 1.14944
35.9722, 33.6781, 23.7269, 1.15359
29.0848, 22.5661, 21.0804, 1.10683
33.3414, 22.5008, 27.2463, 1.28182
16.5924, 31.245, -11.9128, 1.02371
45.0098, 15.6213, 38.0603, 1.21408
17.4484, 32.4331, -9.49229, 1.22754
27.3298, 21.374, 18.153, 1.21755
34.2493, 22.3161, 27.1405, 1.22719
22.1918, 30.1426, 0.606665, 1.34498
50.9374, 7.86704, 50.0875, 1.76542
21.7092, 32.0107, -1.55657, 1.65264
28.1414, 22.8734, 17.1326, 1.42085
24.9486, 15.058, 10.4121, 1.41156
10.0416, 35.7511, -18.1867, 1.81435
35.2078, 24.6837, 29.1043, 1.49521
42.8213, 10.812, 59.2138, 1.19304
36.5353, 30.8096, 28.6472, 1.41949
26.1076, 13.9394, 1.58909, 1.08969
33.4498, 10.9779, 56.6889, 1.38372
29.3892, 19.2605, 17.6926, 1.57155
27.4546, 18.6972, 15.4241, 1.28617
21.5851, 29.7352, -2.01075, 1.27854
41.6895, 22.2816, 32.027, 1.60379
46.0204, 13.659, 38.3307, 1.20537
48.3979, 12.8622, 38.9655, 1.28314
25.7318, 15.5046, 13.6502, 1.45469
28.6263, 22.0981, 17.9835, 1.14305
27.6525, 29.5933, 3.2227, 1.36623
39.5572, 19.7413, 34.0665, 1.40463
33.5503, 23.8154, 26.5587, 1.3642
19.6725, 29.2244, -5.47487, 1.34885
49.615, 13.602, 37.8901, 1.53642
37.4221, 33.0621, 25.9997, 1.10179
48.1945, 13.9498, 42.0466, 1.27814
28.0238, 29.9782, 9.84561, 1.42916
28.0001, 12.2772, 0.617174, 1.2154
28.2645, 14.1495, -2.63574, 1.76867
18.6097, 31.2167, -7.75864, 1.15582
27.4554, 29.6246, 7.35466, 1.28311
32.5173, 9.31105, 52.1285, 1.50106
23.9726, 17.6506, 8.23705, 1.31474
29.1978, 23.2805, 18.969, 1.19319
25.0841, 26.1417, -1.11428, 1.80236
15.9878, 30.0045, -11.1915, 1.22299
25.3628, 28.0985, 2.32057, 1.11096
30.4115, 21.4079, 16.8581, 1.56511
48.5375, 15.8681, 40.0859, 1.29862
25.3213, 13.4885, 2.71519, 1.22818
32.5459, 22.0574, 20.9246, 1.54962
36.4948, 31.6058, 18.5446, 1.28983
36.5251, 24.4429, 27.8958, 1.3965
46.1215, 9.56781, 54.0974, 1.42583
24.3643, 14.9761, -1.10522, 1.65366
34.6288, 8.98743, 54.9644, 1.37551
