x coord, y coord, z coord, scalar
40.7691, 25.0421, 44.2667, 0.00716265
38.2472, 24.1868, 42.1334, 0.00597496
41.5174, 26.1986, 43.9074, 0.00547886
42.9176, 17.2683, 33.7743, 0.00863777
25.0559, 11.5198, 30.6241, 0.00560737
20.9606, 13.5333, 23.954, 0.00935346
25.0454, 24.9852, 62.3994, 0.00772478
26.59, 13.145, 31.7527, 0.00604425
45.1423, 18.3032, 36.8287, 0.00551039
27.1258, 27.8496, 60.0347, 0.0080397
39.9441, 23.7453, 39.0558, 0.00480729
44.3701, 20.8808, 38.1883, 0.0072978
42.6298, 20.2681, 38.4834, 0.00749839
26.5622, 25.6174, 58.8791, 0.00821625
14.6669, 15.8497, 10.6498, 0.00454037
23.0485, 12.4731, 26.4636, 0.00830885
30.8261, 23.61, 52.7773, 0.00470366
42.953, 15.7777, 32.064, 0.00812034
23.5357, 14.9176, 24.4764, 0.00684625
27.7461, 27.1681, 61.1506, 0.00940721
42.2877, 18.6312, 31.9527, 0.00823846
29.4731, 13.6123, 31.8134, 0.00594369
21.3098, 13.1933, 24.4097, 0.0088466
17.5888, 16.9118, 15.4405, 0.00543099
33.2566, 23.7883, 48.5295, 0.00710999
37.1236, 23.8369, 46.6356, 0.00784195
31.9512, 14.6385, 29.3206, 0.00664723
18.1607, 15.7587, 19.1587, 0.00846021
41.8889, 15.6053, 33.6251, 0.00517632
30.2791, 10.9721, 31.2664, 0.00614546
38.3628, 24.2165, 43.6676, 0.00818355
46.2304, 16.3276, 33.69, 0.00561072
24.5183, 21.7353, 59.4027, 0.00401698
37.0392, 24.2446, 43.9727, 0.00753232
34.7569, 15.2191, 27.9966, 0.00726534
27.9455, 23.4716, 58.7664, 0.00603344
46.1206, 16.0491, 31.4503, 0.00659762
33.4066, 13.0154, 28.7559, 0.00773458
34.857, 25.5045, 56.0671, 0.00718749
19.7952, 13.5159, 24.8323, 0.00812049
33.3387, 26.149, 54.2571, 0.00558408
16.6937, 19.3863, 17.8515, 0.00797005
34.9187, 24.4418, 56.5595, 0.0077564
42.0436, 21.9876, 39.9203, 0.00766088
20.884, 15.9814, 23.9579, 0.00709955
43.1624, 18.7711, 36.7547, 0.00725293
17.6969, 13.7279, 24.435, 0.00643401
41.6693, 15.2196, 31.2133, 0.00718343
34.8717, 22.9079, 49.6307, 0.00724552
34.0586, 16.1144, 30.889, 0.00617786
12.5355, 18.3458, 14.739, 0.00760877
43.8766, 16.9467, 29.0266, 0.00600462
19.122, 14.4667, 26.4532, 0.00515889
40.9547, 17.7453, 28.9707, 0.00581379
44.9623, 19.2942, 38.5064, 0.00473974
38.3791, 16.4299, 30.1136, 0.00695596
35.1623, 22.6202, 55.9873, 0.00602942
27.3865, 22.2877, 60.5446, 0.00568374
42.3998, 19.4679, 29.9653, 0.00520056
44.4929, 16.0217, 32.9145, 0.00802401
30.8367, 27.9709, 60.5606, 0.006785
16.8017, 20.1306, 17.5722, 0.00665794
37.8402, 26.0494, 48.0919, 0.00554718
33.6612, 12.5054, 27.387, 0.00437442
43.619, 18.8054, 32.4523, 0.0086739
41.7402, 17.0393, 31.4733, 0.00875106
16.9942, 16.0708, 23.8228, 0.00581192
27.8632, 11.8256, 28.8432, 0.00791131
25.2053, 26.2168, 59.1715, 0.00738452
35.4102, 15.1537, 30.4817, 0.00835956
12.2565, 17.2996, 11.9082, 0.00923505
22.1448, 24.0759, 60.4961, 0.00462167
33.6171, 24.6844, 49.1063, 0.00774258
31.7099, 25.3818, 57.7802, 0.00848856
17.0073, 18.7446, 18.3357, 0.00823285
23.1325, 13.7564, 29.8243, 0.00516849
41.0085, 24.9457, 40.5967, 0.00624632
24.0626, 12.2156, 25.1863, 0.0067761
25.6048, 25.2313, 58.8992, 0.00806588
16.8657, 19.4492, 16.6429, 0.00794556
32.4891, 14.4197, 30.3888, 0.00803
42.4752, 20.0095, 39.3756, 0.00584255
33.7819, 24.33, 47.4036, 0.00697151
29.5687, 28.5158, 60.346, 0.00681498
22.9949, 15.1827, 22.2187, 0.0060848
35.8921, 25.6734, 49.5954, 0.00768745
27.0321, 10.1114, 30.5268, 0.00486293
15.7019, 20.0559, 15.3334, 0.00793292
22.579, 14.0931, 23.3685, 0.00867321
12.0569, 15.6547, 14.0904, 0.00559193
27.2702, 12.4609, 27.4741, 0.00623114
35.3654, 26.2883, 51.2958, 0.00569273
31.1909, 14.1887, 31.6635, 0.00581312
36.4719, 27.1934, 47.4484, 0.00601759
14.9196, 18.4618, 13.0968, 0.00848697
41.6486, 18.0469, 35.0102, 0.00556539
12.7655, 18.8442, 9.98752, 0.00497022
34.5166, 22.3838, 46.5761, 0.00502716
20.4709, 16.4203, 20.4278, 0.00701075
43.5467, 22.1826, 38.9319, 0.00759968
43.6093, 16.1472, 31.6469, 0.00868176
45.7968, 19.3245, 36.2222, 0.00514735
40.7096, 16.3728, 28.8937, 0.00696691
25.0513, 13.7658, 27.3897, 0.00785394
46.6579, 17.8682, 31.0732, 0.00473992
32.2284, 26.4256, 56.2599, 0.00699942
29.24, 26.8269, 59.1192, 0.00892676
30.4544, 13.1054, 30.1054, 0.00844303
37.7509, 13.6451, 29.1392, 0.00680847
35.7917, 25.8647, 50.8965, 0.00637104
45.377, 18.6624, 32.4913, 0.00712108
18.2863, 16.3465, 22.7746, 0.00808356
16.6879, 18.2184, 18.1903, 0.00900228
27.234, 22.1418, 61.7122, 0.00471071
31.1376, 13.5696, 29.4275, 0.00753196
31.3625, 22.8349, 51.7343, 0.00532548
12.8204, 16.0589, 13.3024, 0.00813341
23.1738, 13.6711, 21.4823, 0.00464949
33.7706, 24.9448, 54.9832, 0.00890674
31.6572, 24.8527, 56.3428, 0.00796431
33.8146, 11.2838, 31.3081, 0.00508766
35.4107, 23.9259, 47.4054, 0.00850099
37.2078, 16.2846, 29.0665, 0.00797467
20.0019, 15.387, 21.4479, 0.00943563
15.0558, 17.6695, 20.1499, 0.00487529
26.0586, 11.2443, 26.605, 0.00599649
43.1491, 20.2044, 37.8169, 0.0082993
34.2848, 25.4557, 59.273, 0.00526177
18.9422, 15.8367, 25.5235, 0.00554579
33.0004, 24.4603, 57.0158, 0.0094035
35.8908, 25.3871, 53.5812, 0.00534396
38.4981, 23.2484, 42.0451, 0.00576118
14.7876, 20.1355, 14.0517, 0.00776915
42.1693, 22.2586, 42.307, 0.00561939
16.4835, 19.8211, 16.5908, 0.00813603
41.9744, 15.1771, 29.0921, 0.00663406
38.8469, 13.7065, 30.6514, 0.00465098
37.7466, 16.473, 28.0373, 0.00602501
39.9402, 21.7304, 41.1854, 0.00502442
29.7376, 28.0556, 61.2328, 0.00643313
18.1104, 16.3165, 16.4114, 0.00607371
15.568, 18.0699, 12.988, 0.00692549
17.45, 15.7789, 22.3698, 0.00821408
28.5765, 25.986, 61.0157, 0.00844616
13.305, 19.1176, 15.5691, 0.00779114
41.6895, 23.1132, 37.8582, 0.00517131
11.9241, 17.0832, 10.4677, 0.00707444
32.8439, 15.2469, 30.2685, 0.00689182
31.0431, 27.6054, 59.6388, 0.00796011
36.3388, 24.1593, 48.6786, 0.00772651
35.2328, 22.6822, 45.4155, 0.00515856
26.8075, 11.0748, 30.7447, 0.00655382
41.2106, 21.6965, 38.2046, 0.00605036
30.3274, 11.7566, 30.6895, 0.00809082
27.4279, 13.4316, 29.5581, 0.00714604
16.1716, 20.1174, 16.2538, 0.00794265
20.8683, 13.9276, 22.5235, 0.0087013
14.1024, 17.0893, 15.6549, 0.00776057
40.3356, 22.4912, 40.7106, 0.00700676
21.2213, 16.8621, 21.6016, 0.00596789
24.5491, 12.9329, 24.644, 0.00661495
21.6546, 14.8756, 26.4179, 0.00704807
15.4749, 20.3409, 18.2122, 0.00621316
23.7223, 24.6069, 61.8507, 0.00778322
19.1747, 16.326, 17.869, 0.00639239
22.7034, 12.7601, 29.4507, 0.00550128
13.9608, 17.1103, 12.4478, 0.00873349
32.8515, 11.3587, 28.6385, 0.00654742
20.3148, 14.6749, 19.7768, 0.00708167
26.795, 23.8075, 62.2214, 0.00648061
42.0016, 19.7275, 30.5397, 0.00494184
18.2988, 14.3598, 21.2839, 0.00886909
37.7692, 14.4001, 28.1375, 0.00681099
34.4359, 10.7617, 29.6391, 0.00501256
18.2746, 13.6863, 25.1193, 0.00613928
39.1396, 16.7487, 29.1091, 0.00646418
44.3535, 24.043, 39.9833, 0.00434598
24.4129, 26.1959, 60.7186, 0.00809836
34.7825, 26.0821, 48.6471, 0.00712751
44.1998, 21.2339, 37.5719, 0.00701371
34.2097, 25.7056, 48.3817, 0.00722823
40.112, 14.4461, 28.7542, 0.00575802
25.2543, 23.8698, 59.0826, 0.00793825
10.1316, 16.1257, 12.2523, 0.00453138
17.1078, 15.8082, 18.3989, 0.00729901
37.0957, 27.0263, 45.8798, 0.00645078
41.3971, 24.5545, 41.2469, 0.00761126
26.8211, 26.433, 61.6839, 0.00904778
17.7338, 13.1487, 20.3699, 0.00474674
44.0653, 18.4385, 33.4526, 0.00921923
23.8965, 11.7593, 27.9683, 0.00797695
44.8695, 17.0399, 31.031, 0.00815287
33.419, 12.3034, 28.9682, 0.00789715
42.7587, 22.5073, 41.8701, 0.00622789
30.6563, 11.9149, 29.2909, 0.00807915
34.3012, 23.5588, 50.0394, 0.00870974
15.1859, 18.4818, 12.3829, 0.00715684
24.4434, 23.5817, 58.8822, 0.00643869
25.5827, 23.7625, 61.835, 0.00767288
28.9276, 28.0995, 58.7571, 0.00635616
21.5266, 16.0481, 21.3158, 0.00724731
32.0461, 23.8376, 52.0571, 0.00744617
45.1791, 16.9793, 35.2034, 0.00648637
14.6283, 20.6158, 15.9645, 0.00719073
42.5128, 18.9752, 39.2886, 0.00408726
19.1817, 14.0958, 21.9766, 0.00905751
19.5656, 16.9025, 22.196, 0.00727253
16.5213, 14.8837, 23.5382, 0.0055718
11.4722, 18.7483, 10.3795, 0.00599443
32.0916, 24.0478, 53.8041, 0.00739509
28.888, 10.4815, 29.151, 0.0060247
22.6144, 14.6561, 24.4945, 0.0086355
35.5015, 24.678, 55.2918, 0.00669417
38.6141, 15.8576, 29.1801, 0.0076553
36.0584, 25.0229, 46.6485, 0.00922762
30.7194, 10.5616, 30.4485, 0.00668292
12.0994, 15.545, 9.33336, 0.00444984
42.94, 17.1732, 30.7105, 0.00945316
31.4246, 13.0538, 32.0333, 0.00644656
16.0494, 17.2661, 19.6386, 0.00741635
20.5609, 14.0615, 25.9501, 0.007797
40.6129, 22.3216, 39.0993, 0.00629665
26.0072, 23.3047, 59.0997, 0.00761665
27.7555, 11.1605, 28.6944, 0.00714045
38.5614, 23.2523, 44.9822, 0.00690387
26.7808, 23.1165, 60.7367, 0.00775141
16.2975, 18.809, 19.1984, 0.00735874
32.4211, 23.7642, 50.4894, 0.00702709
36.5591, 26.0788, 49.5519, 0.0063277
36.4294, 23.9913, 52.1993, 0.00512097
19.1149, 14.5134, 22.831, 0.00965418
16.1082, 16.8538, 15.7376, 0.00744877
21.2289, 15.4621, 19.0557, 0.0048859
16.2308, 17.3003, 18.352, 0.00865981
17.886, 17.0457, 16.3106, 0.00684675
45.6106, 17.3397, 34.5511, 0.00685342
40.814, 25.9666, 43.4452, 0.00713324
42.0706, 25.0755, 43.0988, 0.00609919
38.6418, 13.8033, 28.2876, 0.0053716
32.6761, 27.0711, 58.4984, 0.00703033
39.791, 22.765, 40.415, 0.00627238
